,,,The Show,Show Champion,Mcountdown,Music Bank,Music Core,Inkigayo,Music on Top,,,,,,,,
Nam Woo Hyun,,1,1,,,,,,,,,,,,,,
Zhou Mi,,1,1,,,,,,,,,,,,,,
Minah,,1,,1,,,,,,,,,,,,,
Kim Se Jeong,,1,,1,,,,,,,,,,,,,
DIA,,1,1,,,,,,,,,,,,,,
SS301,,1,1,,,,,,,,,,,,,,
Gaeko,,1,,,1,,,,,,,,,,,,
Seo In Young,,1,,,1,,,,,,,,,,,,
U-Kiss,,1,1,,,,,,,,,,,,,,
UNIQ,,1,1,,,,,,,,,,,,,,
Kim Dong Han,,1,1,,,,,,,,,,,,,,
Astro,,1,1,,,,,,,,,,,,,,
The Boyz,,1,1,,,,,,,,,,,,,,
John Park,,1,,1,,,,,,,,,,,,,
Crush ft Taeyeon,,1,,1,,,,,,,,,,,,,
DJ Doc,,1,,,1,,,,,,,,,,,,
Hyukoh,,1,,,1,,,,,,,,,,,,
Baechigi,,1,,,1,,,,,,,,,,,,
Seo In Guk,,1,,,1,,,,,,,,,,,,
Park Ji Hoon,,1,,,,1,,,,,,,,,,,
Jo Kwon,,1,,,,1,,,,,,,,,,,
Y2K,,1,,,,1,,,,,,,,,,,
Shaun,,1,,,,1,,,,,,,,,,,
JBJ,,1,,,,1,,,,,,,,,,,
Laboum,,1,,,,1,,,,,,,,,,,
Han Dong Geun,,1,,,,1,,,,,,,,,,,
Lee Juck,,1,,,,1,,,,,,,,,,,
Crayon Pop,,1,,,,1,,,,,,,,,,,
Homme,,1,,,,1,,,,,,,,,,,
Kim Jang Hoon,,1,,,,1,,,,,,,,,,,
Kang Jin,,1,,,,1,,,,,,,,,,,
Insooni,,1,,,,1,,,,,,,,,,,
Seo Taiji,,1,,,,1,,,,,,,,,,,
Jun Jin,,1,,,,,,1,,,,,,,,,
CL,,1,,,,,,1,,,,,,,,,
Moon Hee Joon,,1,,,,,,1,,,,,,,,,
Kangta,,1,,,,,,1,,,,,,,,,
Tony An,,1,,,,,,1,,,,,,,,,
Jang Woo Hyuk,,1,,,,,,1,,,,,,,,,
Brian Joo,,1,,,,,,1,,,,,,,,,
Hi Suhyun,,1,,,,,,1,,,,,,,,,
Park Kyung,,1,,,,,1,,,,,,,,,,
DIVA,,1,,,,,,1,,,,,,,,,
Lee Ji Hoon,,1,,,,,,1,,,,,,,,,
Jinusean,,1,,,,,,1,,,,,,,,,
T (Yoon Mi Rae),,1,,,,,,1,,,,,,,,,
YG Family,,1,,,,,,1,,,,,,,,,
Ahn Jae Wook,,1,,,,,,1,,,,,,,,,
Tim,,1,,,,,,1,,,,,,,,,
Lyn,,1,,,,,,1,,,,,,,,,
Zhang Liyin,,1,,,,,,1,,,,,,,,,
